Date : 2023-06-28 20:35:38
Directory : g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp
Total : 171 files,  22700 codes, 814 comments, 724 blanks, all 24238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-sass.cmd                        | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-sass.ps1                        | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-which.cmd                       | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-which.ps1                       | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nopt.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nopt.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\parser.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\parser.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\react-scripts.cmd                    | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\react-scripts.ps1                    | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\regjsparser.cmd                      | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\regjsparser.ps1                      | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\resolve.cmd                          | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\resolve.ps1                          | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rimraf.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rimraf.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rollup.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\rollup.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sassgraph.cmd                        | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sassgraph.ps1                        | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\semver.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\semver.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-conv.cmd                       | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-conv.ps1                       | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-sign.cmd                       | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-sign.ps1                       | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-verify.cmd                     | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sshpk-verify.ps1                     | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase-node.cmd                     | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase-node.ps1                     | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase.cmd                          | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\sucrase.ps1                          | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\svgo.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\svgo.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwind.cmd                         | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwind.ps1                         | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\tailwindcss.cmd                      | Batch      |         15 |          0 |          3 |         18 |
